Sample ID,T. canis result,T. cati result,Cq1,Cq2
G1,NEGATIVE,NEGATIVE,,
G2,POSITIVE,NEGATIVE,34.87,
G3,NEGATIVE,NEGATIVE,,
G4,POSITIVE,NEGATIVE,31.27,28.9
G5,POSITIVE,NEGATIVE,36.16,
G6,NEGATIVE,NEGATIVE,,
G7,POSITIVE,NEGATIVE,33.82,
G8,POSITIVE,NEGATIVE,37.23,39.62
G9,NEGATIVE,NEGATIVE,,
G10,POSITIVE,NEGATIVE,37.23,
G11,POSITIVE,NEGATIVE,38.86,31.2
G12,POSITIVE,NEGATIVE,,35.93
G13,NEGATIVE,NEGATIVE,,
G14,NEGATIVE,NEGATIVE,,
G15,NEGATIVE,NEGATIVE,,
G16,NEGATIVE,NEGATIVE,,
G17,NEGATIVE,NEGATIVE,,
G18,POSITIVE,NEGATIVE,38.9,34.3
G19,POSITIVE,NEGATIVE,37.1,37.39
G20,NEGATIVE,NEGATIVE,,
G21,POSITIVE,NEGATIVE,35.05,34.01
G22,NEGATIVE,NEGATIVE,,
G23,NEGATIVE,NEGATIVE,,
G24,POSITIVE,NEGATIVE,27.21,
G25,POSITIVE,NEGATIVE,34.36,35.31
G26,NEGATIVE,NEGATIVE,,
G27,NEGATIVE,NEGATIVE,,
G28,POSITIVE,NEGATIVE,34.77,
G29,NEGATIVE,NEGATIVE,,
G30,NEGATIVE,NEGATIVE,,
G31,POSITIVE,NEGATIVE,35.37,
G32,NEGATIVE,NEGATIVE,,
G33,NEGATIVE,NEGATIVE,,
GA1,POSITIVE,NEGATIVE,37.65,
GA2,NEGATIVE,NEGATIVE,,
GA3,NEGATIVE,NEGATIVE,,
GA4,POSITIVE,NEGATIVE,37.44,
GA5,POSITIVE,NEGATIVE,34.05,28.89
GA6,NEGATIVE,NEGATIVE,,
GA7,NEGATIVE,NEGATIVE,,
GA8,NEGATIVE,NEGATIVE,,
GA9,NEGATIVE,NEGATIVE,,
GA10,NEGATIVE,NEGATIVE,,
GA11,NEGATIVE,NEGATIVE,,
GA12,NEGATIVE,NEGATIVE,,
GA13,POSITIVE,NEGATIVE,36.77,
GA14,NEGATIVE,NEGATIVE,,
GA15,NEGATIVE,NEGATIVE,,
GA16,NEGATIVE,NEGATIVE,,
GA17,NEGATIVE,NEGATIVE,,
GA18,NEGATIVE,NEGATIVE,,
GA19,NEGATIVE,NEGATIVE,,
GA20,POSITIVE,NEGATIVE,,36.43
GA21,NEGATIVE,NEGATIVE,,
GA22,POSITIVE,NEGATIVE,29.66,
GA23,NEGATIVE,NEGATIVE,,
GA24,NEGATIVE,NEGATIVE,,
GA25,NEGATIVE,NEGATIVE,,
C1,POSITIVE,NEGATIVE,,30.13
C2,NEGATIVE,NEGATIVE,,
C3,NEGATIVE,NEGATIVE,,
C4,NEGATIVE,NEGATIVE,,
C5,NEGATIVE,NEGATIVE,,
C6,POSITIVE,NEGATIVE,34.77,
C7,NEGATIVE,NEGATIVE,,
C8,POSITIVE,NEGATIVE,29.89,
C9,NEGATIVE,POSITIVE,25.07,
C10,NEGATIVE,POSITIVE,,27.05
C11,POSITIVE,NEGATIVE,,37.16
C12,NEGATIVE,NEGATIVE,,
C13,NEGATIVE,NEGATIVE,,
C14,NEGATIVE,NEGATIVE,,
C15,NEGATIVE,NEGATIVE,,
C16,NEGATIVE,NEGATIVE,,
C17,NEGATIVE,NEGATIVE,,
C18,NEGATIVE,NEGATIVE,,
C19,NEGATIVE,NEGATIVE,,
C20,NEGATIVE,NEGATIVE,,
C21,NEGATIVE,NEGATIVE,,
C22,POSITIVE,NEGATIVE,,37.77
C23,NEGATIVE,NEGATIVE,,
C24,NEGATIVE,NEGATIVE,,
C25,NEGATIVE,NEGATIVE,,
C26,NEGATIVE,NEGATIVE,,
C27,NEGATIVE,NEGATIVE,,
C28,NEGATIVE,NEGATIVE,,
C29,NEGATIVE,NEGATIVE,,
C30,NEGATIVE,NEGATIVE,,
C31,NEGATIVE,NEGATIVE,,
C32,NEGATIVE,NEGATIVE,,
C33,NEGATIVE,NEGATIVE,,
C34,NEGATIVE,NEGATIVE,,
C35,NEGATIVE,NEGATIVE,,
P1,POSITIVE,NEGATIVE,37.87,
P2,NEGATIVE,NEGATIVE,,
P3,NEGATIVE,NEGATIVE,,
P4,POSITIVE,NEGATIVE,34.46,
P5,NEGATIVE,NEGATIVE,,
P6,NEGATIVE,NEGATIVE,,
P7,NEGATIVE,NEGATIVE,,
P8,NEGATIVE,NEGATIVE,,
P9,NEGATIVE,NEGATIVE,,
P10,NEGATIVE,NEGATIVE,,
P11,NEGATIVE,NEGATIVE,,
P12,NEGATIVE,NEGATIVE,,
P13,NEGATIVE,NEGATIVE,,
P14,NEGATIVE,NEGATIVE,,
P15,NEGATIVE,NEGATIVE,,
P16,NEGATIVE,NEGATIVE,,
P17,NEGATIVE,NEGATIVE,,
P18,NEGATIVE,NEGATIVE,,
P19,NEGATIVE,NEGATIVE,,
P20,NEGATIVE,NEGATIVE,,
P21,NEGATIVE,NEGATIVE,,
P22,NEGATIVE,NEGATIVE,,
P23,NEGATIVE,NEGATIVE,,
P24,NEGATIVE,NEGATIVE,,
P25,NEGATIVE,NEGATIVE,,
P26,NEGATIVE,NEGATIVE,,
P27,NEGATIVE,NEGATIVE,,
